r,phi,z
1988,256,50
1376,87381,2048
1988,256,90
65,0,150
65,0,20
2746,0,134
3554,104448,20
1988,256,110
3841,0,147
771,3831,1238
771,3831,1308
2746,0,154
2746,0,104
771,3831,1288
1376,87381,2028
1988,256,130
0,0,40
3841,0,127
65,0,150
1376,87381,2088
3554,104448,50
3841,0,57
771,3831,1308
1988,256,100
2746,0,114
1376,87381,2108
2746,0,54
1988,256,70
3554,104448,20
65,0,80
0,0,10
1376,87381,2018
0,0,40
771,3831,1268
771,3831,1178
1988,256,120
0,0,40
1376,87381,2028
194,0,35
2327,0,90
2407,0,20
194,0,5
1666,0,147
2818,0,176
2327,0,130
194,0,145
2406,0,140
2327,0,100
2327,0,110
2407,0,60
2818,0,76
2327,0,140
2406,0,70
2327,0,30
2406,0,0
2406,0,80
1666,0,87
2327,0,80
1666,0,127
194,0,155
194,0,25
2818,0,146
2327,0,20
1666,0,147
2326,0,140
2407,0,70
2407,0,140
2818,0,166
2818,0,116
2407,0,120
2327,0,60
1666,0,167
2406,0,40
2326,0,120
194,0,155
2327,0,120
2327,0,50
2326,0,50
2407,0,140
1666,0,137
2818,0,126
2327,0,140
2818,0,66
1666,0,107
2327,0,20
194,0,85
2406,0,10
2327,0,50
2406,0,40
2407,0,100
2407,0,10
1666,0,157
2406,0,40
2327,0,60
772,7415,1198
224,256,90
4063,73728,20
772,7415,1168
3049,65536,132
0,0,140
224,256,130
772,7415,1308
1376,87381,2108
224,256,100
224,256,110
4063,73728,60
0,0,40
3841,0,147
1376,87381,2038
3841,0,37
1376,87381,1968
1376,87381,2048
3049,65536,72
224,256,80
3049,65536,112
772,7415,1318
772,7415,1188
0,0,110
3841,0,27
3049,65536,132
65,0,140
4063,73728,70
4063,73728,140
0,0,130
0,0,80
4063,73728,120
224,256,60
3049,65536,152
1376,87381,2008
65,0,120
772,7415,1318
224,256,120
3841,0,57
65,0,50
4063,73728,140
3049,65536,122
0,0,90
224,256,140
0,0,30
3049,65536,92
3841,0,27
772,7415,1248
1376,87381,1978
224,256,50
1376,87381,2008
4063,73728,100
4063,73728,10
3049,65536,142
1376,87381,2008
224,256,60
3841,0,37
0,0,90
65,0,20
3841,0,7
1376,87381,2078
900,256,140
0,0,130
3841,0,147
3231,0,165
0,0,100
0,0,110
65,0,60
900,256,40
772,18679,1308
3231,0,95
772,18679,1198
3231,0,25
3231,0,105
1376,87381,2018
0,0,80
1376,87381,2058
3841,0,157
3841,0,27
900,256,110
772,18679,1188
1376,87381,2078
3598,78848,141
65,0,70
65,0,140
900,256,130
900,256,80
65,0,120
0,0,60
1376,87381,2098
3231,0,65
3598,78848,121
3841,0,157
0,0,120
772,18679,1218
3598,78848,51
65,0,140
1376,87381,2068
900,256,90
0,0,140
900,256,30
1376,87381,2038
772,18679,1188
3841,0,87
3231,0,35
0,0,50
3231,0,65
65,0,100
65,0,10
1376,87381,2088
3231,0,65
0,0,60
65,0,30
1376,87381,2058
770,27127,1188
65,0,0
1398,256,110
1762,0,164
1376,87381,2098
65,0,140
0,0,140
1376,87381,2068
1376,87381,2078
770,27127,1228
1762,0,64
3753,63488,141
0,0,70
3753,63488,31
0,0,0
0,0,80
1398,256,50
1376,87381,2048
1398,256,90
65,0,150
65,0,20
1762,0,134
3753,63488,21
1398,256,110
3841,0,147
770,27127,1238
770,27127,1308
1762,0,154
1762,0,104
770,27127,1288
1376,87381,2028
1398,256,130
0,0,40
3841,0,127
65,0,150
1376,87381,2088
3753,63488,51
3841,0,57
770,27127,1308
1398,256,100
1762,0,114
1376,87381,2108
1762,0,54
1398,256,70
3753,63488,21
65,0,80
0,0,10
1376,87381,2018
0,0,40
770,27127,1268
770,27127,1178
1398,256,120
0,0,40
1376,87381,2028
2946,0,35
2328,0,90
2410,0,20
2946,0,5
2,0,148
1666,0,177
2328,0,130
2946,0,145
2408,0,140
2328,0,100
2328,0,110
2410,0,60
1666,0,77
2328,0,140
2408,0,70
2328,0,30
2408,0,0
2408,0,80
2,0,88
2328,0,80
2,0,128
2946,0,155
2946,0,25
1666,0,147
2328,0,20
2,0,148
2327,0,140
2410,0,70
2410,0,140
1666,0,167
1666,0,117
2410,0,120
2328,0,60
2,0,168
2408,0,40
2327,0,120
2946,0,155
2328,0,120
2328,0,50
2327,0,50
2410,0,140
2,0,138
1666,0,127
2328,0,140
1666,0,67
2,0,108
2328,0,20
2946,0,85
2408,0,10
2328,0,50
2408,0,40
2410,0,100
2410,0,10
2,0,158
2408,0,40
2328,0,60
770,72439,1198
2310,256,90
90,109568,21
770,72439,1168
1474,0,139
0,0,140
2310,256,130
770,72439,1308
1376,87381,2108
2310,256,100
2310,256,110
90,109568,61
0,0,40
3841,0,147
1376,87381,2038
3841,0,37
1376,87381,1968
1376,87381,2048
1474,0,79
2310,256,80
1474,0,119
770,72439,1318
770,72439,1188
0,0,110
3841,0,27
1474,0,139
65,0,140
90,109568,71
90,109568,141
0,0,130
0,0,80
90,109568,121
2310,256,60
1474,0,159
1376,87381,2008
65,0,120
770,72439,1318
2310,256,120
3841,0,57
65,0,50
90,109568,141
1474,0,129
0,0,90
2310,256,140
0,0,30
1474,0,99
3841,0,27
770,72439,1248
1376,87381,1978
2310,256,50
1376,87381,2008
90,109568,101
90,109568,11
1474,0,149
1376,87381,2008
2310,256,60
3841,0,37
0,0,90
65,0,20
3841,0,7
1376,87381,2078
350,256,140
0,0,130
3841,0,147
418,0,162
0,0,100
0,0,110
65,0,60
350,256,40
772,76279,1308
418,0,92
772,76279,1198
418,0,22
418,0,102
1376,87381,2018
0,0,80
1376,87381,2058
3841,0,157
3841,0,27
350,256,110
772,76279,1188
1376,87381,2078
12,104448,141
65,0,70
65,0,140
350,256,130
350,256,80
65,0,120
0,0,60
1376,87381,2098
418,0,62
12,104448,121
3841,0,157
0,0,120
772,76279,1218
12,104448,51
65,0,140
1376,87381,2068
350,256,90
0,0,140
350,256,30
1376,87381,2038
772,76279,1188
3841,0,87
418,0,32
0,0,50
418,0,62
65,0,100
65,0,10
1376,87381,2088
418,0,62
0,0,60
65,0,30
1376,87381,2058
775,96247,1188
65,0,0
741,256,110
3061,0,162
1376,87381,2098
65,0,140
0,0,140
1376,87381,2068
1376,87381,2078
775,96247,1228
3061,0,62
264,48128,142
0,0,70
264,48128,32
0,0,0
0,0,80
741,256,50
1376,87381,2048
741,256,90
65,0,150
65,0,20
3061,0,132
264,48128,22
741,256,110
3841,0,147
775,96247,1238
775,96247,1308
3061,0,152
3061,0,102
775,96247,1288
1376,87381,2028
741,256,130
0,0,40
3841,0,127
65,0,150
1376,87381,2088
264,48128,52
3841,0,57
775,96247,1308
741,256,100
3061,0,112
1376,87381,2108
3061,0,52
741,256,70
264,48128,22
65,0,80
0,0,10
1376,87381,2018
0,0,40
775,96247,1268
775,96247,1178
741,256,120
0,0,40
1376,87381,2028
3010,0,33
2325,0,90
2408,0,20
3010,0,3
66,0,146
0,0,140
2325,0,130
3010,0,143
0,0,140
2325,0,100
2325,0,110
2408,0,60
0,0,40
2325,0,140
0,0,70
2325,0,30
0,0,0
0,0,80
66,0,86
2325,0,80
66,0,126
3010,0,153
3010,0,23
0,0,110
2325,0,20
